State,Year,Category,CategoryScore
Virginia,2016,Care_Seeking,70.5
Washington,2016,Care_Seeking,66.5
West Virginia,2016,Care_Seeking,66.75
Wisconsin,2016,Care_Seeking,63.5
Wyoming,2016,Care_Seeking,67.25
Alabama,2016,Economic_Hardship,60.75
Alaska,2016,Economic_Hardship,62.75
Arizona,2016,Economic_Hardship,58.75
Arkansas,2016,Economic_Hardship,53.25
California,2016,Economic_Hardship,42.5
Colorado,2016,Economic_Hardship,59.25
Connecticut,2016,Economic_Hardship,49.5
Delaware,2016,Economic_Hardship,57.25
District of Columbia,2016,Economic_Hardship,55.75
Florida,2016,Economic_Hardship,56.75
Georgia,2016,Economic_Hardship,55.0
