State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Maine,2019,356.6731313671727,348.1208585783343,410.77284130055324,-1.1073891029697753,0.6320392944447628,-1.3473739428249822,14.112476897914108
Maine,2020,337.0018390671789,328.3280713785227,383.6663830875743,-0.9594215637617269,-0.7143472863740064,-1.6477789240754253,14.115719589405115
Maryland,2016,514.3986679571581,604.8592766789081,520.0317576965862,1.1496206035433199,-0.18314228176149908,1.8670552922185866,15.608438344443867
Maryland,2017,498.491586026045,568.5871386090205,408.3961247894169,0.8332870977999114,-0.8387386744613305,0.6695056106295441,15.611956694257795
Maryland,2018,489.06408030382545,514.3986679571581,418.83277476845853,1.5178659427948216,-0.349948923236873,-0.14030912073399657,15.614270963348954
Maryland,2019,461.605488662672,498.491586026045,407.1207022465195,2.3041256135731465,-0.06879259343655361,-0.24910240002404346,15.616387337913222
Maryland,2020,402.9193821066144,489.06408030382545,401.87339750552303,2.324121234039039,-0.7454680917106459,-0.827010734913467,15.61652737871685
Massachusetts,2016,481.1579428410728,627.5070718347035,612.4168837624086,1.3484388708628363,0.040347865604316545,1.0640386207238297,15.736436909181764
Massachusetts,2017,497.5552045877066,540.6412137196645,571.5734080783191,1.1278632832185351,-0.7994980879317349,0.5294173785822386,15.741736815531176
Massachusetts,2018,500.3107881238273,481.1579428410728,596.1127341803939,2.190838264420189,0.103786528694762,-0.4379296628659859,15.74496025984069
Massachusetts,2019,496.0200194840145,497.5552045877066,606.8780427746751,2.6120309417875864,-0.09928102659596841,-0.7418439289336857,15.746290100247583
Massachusetts,2020,472.1788726718535,500.3107881238273,613.1100774075635,2.643476780375808,-0.6286178747603345,-1.016712704337054,15.74610023128633
Michigan,2016,280.2860364209101,337.7958973756934,515.7469807522301,1.043296400615374,0.16135745720881525,1.6740338635619147,16.113496792400273
Michigan,2017,287.16760725334257,324.12356033021547,472.33700024154683,0.9175032705318326,-0.4719642555647145,1.0071385498194683,16.115768144415206
Michigan,2018,282.85962773069684,280.2860364209101,484.97317046481413,1.9884214711517667,0.7020168789336807,-0.18710637588736384,16.116823442043632
Michigan,2019,288.4385708469728,287.16760725334257,484.84223617797795,2.2735834270200637,0.5936541828293562,-0.3876029357447196,16.1165739938251
Michigan,2020,276.9261796076979,282.85962773069684,471.1594506602699,2.274846657499883,-0.20029005795954807,-0.7676230785687133,16.11474554561666
Minnesota,2016,502.2297189685378,582.2840757684545,417.45376872913255,1.7234332220438537,-0.7089238962931281,1.3334093383002348,15.524858961616417
Minnesota,2017,516.2244403812842,557.0749244803338,353.37422733541376,1.4388595140764262,-1.5775658994498607,0.2213369051734833,15.53277687830347
Minnesota,2018,531.3115443301035,502.2297189685378,490.9491927073549,2.487411308135271,-1.032084281417656,-0.5356716568650902,15.539840575784194
Minnesota,2019,518.6121477936466,516.2244403812842,482.42646626778986,2.9757273935955832,-0.7296871025372295,-1.0122883571511798,15.545404020593208
Minnesota,2020,468.41785417957766,531.3115443301035,515.5377513397601,2.7982252438448345,-1.1231050746285933,-1.1350922859561927,15.548464728570021
Mississippi,2016,486.52525667969087,541.4633950690734,502.2730913437699,-3.485232783835087,-0.8495543275556592,0.579665933077273,14.910982922225179
Mississippi,2017,526.6371393204341,478.2239231684776,493.7440994249395,-3.1792752089928347,-0.35326406399361693,0.43018309520871206,14.911009338024236
Mississippi,2018,526.3371393878195,486.52525667969087,436.10208093215675,-1.8152665022161847,1.2607524356038775,-0.5918523463695727,14.908399499482758
Mississippi,2019,532.1958332927611,526.6371393204341,443.38982071310147,-0.8607078105667977,1.7858723403777317,-0.7537878680990571,14.906838714975866
Mississippi,2020,453.3525505378548,526.3371393878195,475.79365324108034,-1.2085358761157943,1.8381586670657024,-1.0127654373649875,14.902989769944368
Missouri,2016,769.9399676658046,820.2497718319296,426.98397723114135,0.25856695588622414,0.163739533443712,2.517841631851208,15.622385871666609
Missouri,2017,781.329002179867,797.4769114385841,394.59488206706874,0.2891304123576587,0.15550966814684689,1.1854995455042072,15.625663492150828
Missouri,2018,793.3416759359229,769.9399676658046,463.6059460216102,1.5502288344168642,0.2587124905226728,0.1717760395830813,15.628050281031078
Missouri,2019,781.698484237783,781.329002179867,448.80104307677374,1.8844913570552844,0.7026860174039938,-0.1266668939006064,15.630412658694592
Missouri,2020,732.3359908757925,793.3416759359229,452.78432523056085,1.1857645704249924,0.5816602963827152,0.06034046428355066,15.632214315426802
Montana,2016,388.6245282530032,449.80868463228626,453.2314835843744,-4.802205766794126,-1.2826080539518279,-0.1800430923637224,13.856783970580047
Montana,2017,351.0896113532891,412.02332536754903,403.11508672856826,-3.803852568261784,-0.17393731186195668,-0.9124441060751557,13.86797206972012
Montana,2018,404.9658227681203,388.6245282530032,409.98166894065474,-3.1181780745376506,0.33795867809905905,-0.5489196910874066,13.875493091333093
Montana,2019,378.4611675480295,351.0896113532891,392.85045349141586,-2.7076255265861735,1.0023862971782274,-2.1321751351777047,13.883284153102496
Montana,2020,356.2911296464759,404.9658227681203,441.5489028948712,-3.0254031075404897,0.46502266204096915,-0.6921393381141943,13.893005715693995
Nebraska,2016,411.75295032790746,433.52101513068135,407.7475731769611,-2.564732219387456,-0.21810976095013385,1.4058583807837421,14.460770741376638
Nebraska,2017,448.6180997580592,412.24930089389386,378.3420599613874,-2.1337498779021122,0.14556814707634438,0.8274080050033794,14.46627097873042
Nebraska,2018,433.65089389211806,411.75295032790746,458.11776292593305,-0.9983168743442017,1.5044851264686672,-0.2887565942797557,14.470702464365175
Nebraska,2019,481.22423445244704,448.6180997580592,458.4144985217781,-0.29226530155164987,1.7500511323536394,0.16597513295759844,14.474361798742944
Nebraska,2020,405.1504166081736,433.65089389211806,481.3442437925352,-0.7595217922554114,1.368368015770735,-0.48386108125983573,14.476935878559164
Nevada,2016,282.57731058329097,223.488657950609,305.55639261102374,-0.5772961977405858,0.7640206404248179,1.3975278540148528,14.886941765370548
Nevada,2017,242.25319698515895,284.11755006308107,279.7174757021271,-0.995117112484306,0.4290146916831884,0.8696968391300977,14.90477832224142
Nevada,2018,288.7097971607454,282.57731058329097,273.4619195834684,0.40804829814793325,1.8344665548258636,0.03960561993565139,14.924312422791504
Nevada,2019,312.2198312330483,242.25319698515895,294.5656939358121,0.2975169251439541,2.13122307532238,-0.2981826000696163,14.943931132313454
Nevada,2020,358.47901655025925,288.7097971607454,288.97757419368,0.06214422466121055,1.6176201297056165,-0.07258080072090037,14.959178745516699
New Jersey,2016,502.61540320123186,532.858057778053,640.7831676705953,0.8260483534374662,-0.3515259115279564,1.6111745635242096,15.998589331300636
New Jersey,2017,495.6038643375273,533.8030950884253,454.8436459336372,0.6064982953005231,-0.2683083733763932,1.1060356497489192,16.00022914931875
New Jersey,2018,531.3926536230857,502.61540320123186,460.1781647950175,1.6213810000865718,0.013606726824245784,-0.21568629257390842,16.000632189232746
New Jersey,2019,444.8189446307823,495.6038643375273,463.41017480650765,1.3026476023849622,0.446551807556031,-0.3025205077093954,16.000579104790457
New Jersey,2020,376.5886383264108,531.3926536230857,456.757645085092,1.458849355157638,-0.5195268574680207,-0.6589015896796392,15.999579083833499
New Mexico,2016,363.19236531417334,308.57759602265,290.3693915438174,-3.0400779147886112,-0.2355735418344201,0.4747767673082638,14.553896365349205
New Mexico,2017,358.3640252211823,363.6240108589613,258.92072356197974,-2.2232454532212533,0.10474726149925562,0.7845614226642001,14.554034464488838
New Mexico,2018,353.43216060721556,363.19236531417334,260.9833995124142,-0.7573481554304434,1.0945396137878909,-0.47049355231899354,14.55446918500145
New Mexico,2019,321.48460160199346,358.3640252211823,263.54163163952796,-0.08222428589583573,1.512430774579272,-0.1645788724767791,14.557273601789845
New Mexico,2020,318.09046967719513,353.43216060721556,266.8601459869472,-0.5596559369173092,1.6124085267219466,-0.6252226202045645,14.560452432190141
New York,2016,700.7397642469026,738.2934816826639,478.5608047113253,2.0536812925942867,-1.0976680000022003,0.915675151338688,16.792895086367615
New York,2017,710.4270324835105,737.3843058268214,431.84833586415164,1.4432124542714642,-0.9583529488818702,0.4619627594738564,16.790726248416284
New York,2018,725.0270644365373,700.7397642469026,438.74163429804304,2.450593797823418,-0.33594121166173246,-0.2748295840743079,16.78818390623379
New York,2019,715.9690802060574,710.4270324835105,459.5930777113081,3.2361223095406375,-0.25792125743387684,-0.7124055589124481,16.78403251592189
New York,2020,620.5791492852791,725.0270644365373,425.5439469097967,2.471713567457558,-0.8702655953591539,-0.968546140594354,16.777519332955706
North Carolina,2016,381.8220429801722,443.2795846354566,339.8259259647249,1.2035394388805718,-0.3704171587456592,1.6215610409761052,16.13414634659252
North Carolina,2017,375.1548060980027,420.9333701828535,317.09042661022403,0.6555356937388611,-0.8794933590478882,0.5933289204425404,16.145298086915144
North Carolina,2018,357.9897834335031,381.8220429801722,314.68150944718485,1.807686634232877,-0.7942068842083978,-0.5234320393824595,16.15648505713322
North Carolina,2019,351.38225590074603,375.1548060980027,311.7357573415075,1.9012619971661886,-0.3650047654992076,-0.6273610831493797,16.16701761596545
North Carolina,2020,295.7317559212148,357.9897834335031,305.90901814594685,1.6768196240510784,-0.9108716743779214,-0.7544706644094181,16.176442197577785
North Dakota,2016,429.8293643551104,473.7822442658811,516.0913005124988,-3.939939670425091,-0.8281269783591432,-0.5842855474472511,13.535947437444245
North Dakota,2017,502.1440228343387,516.1891475864187,457.1163508891525,-4.819079847941142,-1.178098043650128,-0.46273238541121353,13.536794834063988
North Dakota,2018,453.9103388934061,429.8293643551104,451.24440944139707,-4.086804468262779,-0.5048607537472743,-0.6689025559217556,13.541155287882502
North Dakota,2019,477.9213433125056,502.1440228343387,484.56127674803355,-4.062016663732059,-0.31091724637739093,-0.6358069816079976,13.54596174633529
North Dakota,2020,509.59808391120447,453.9103388934061,509.44151138792796,-4.236961793321418,-0.8491261629866557,0.019382947708126947,13.548034952822944
Ohio,2016,530.4955472738112,570.797254279967,482.8401516578003,1.706304599545489,0.01240108626478424,1.493294816180404,16.269963154893457
Ohio,2017,538.7586486407251,567.0126820689338,439.6394530738251,1.3756735251546486,-0.5813167155674906,0.36098838674963096,16.272163984538075
Ohio,2018,538.4862731373597,530.4955472738112,461.3540577476929,2.0994518313058586,0.2228127957186747,-0.4609559104130796,16.27346490231134
Ohio,2019,503.141664430244,538.7586486407251,445.0494393846476,2.844792279183865,0.011510801045542689,-1.0296143483695337,16.274800808185407
